                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.2142,                0.70393,                 1.0155,                 0.7831,                0.64907,                0.67976,                0.39261,                 1.6718,                 1.0256,                 1.2646,               0.005413,               0.005413,               0.005413
                    142,                 1.2116,                0.70903,                 1.0185,                0.78201,                 0.6484,                0.67994,                0.39257,                 1.6723,                 1.0261,                 1.2649,                0.00538,                0.00538,                0.00538
                    143,                 1.2121,                0.71335,                 1.0163,                0.77871,                0.65051,                0.67935,                0.39264,                 1.6727,                 1.0271,                  1.265,               0.005347,               0.005347,               0.005347
                    144,                 1.2215,                0.70624,                 1.0202,                0.76445,                0.65329,                  0.679,                0.39291,                 1.6723,                 1.0276,                 1.2647,               0.005314,               0.005314,               0.005314
                    145,                 1.2174,                0.70103,                 1.0175,                0.78954,                0.64246,                0.67894,                0.39268,                 1.6719,                  1.028,                 1.2646,               0.005281,               0.005281,               0.005281
                    146,                 1.2085,                0.69818,                 1.0131,                0.76826,                0.65068,                0.67843,                0.39302,                  1.672,                 1.0276,                  1.265,               0.005248,               0.005248,               0.005248
                    147,                   1.21,                0.69904,                  1.016,                0.76502,                0.65245,                0.67848,                0.39266,                 1.6725,                 1.0271,                  1.265,               0.005215,               0.005215,               0.005215
                    148,                  1.204,                0.69738,                 1.0106,                0.77061,                0.65071,                0.67857,                0.39229,                 1.6723,                 1.0275,                 1.2648,               0.005182,               0.005182,               0.005182
                    149,                 1.2024,                0.69337,                 1.0129,                0.77131,                0.65083,                0.67899,                0.39261,                 1.6722,                 1.0284,                 1.2648,               0.005149,               0.005149,               0.005149
                    150,                 1.1954,                0.69389,                 1.0088,                0.77126,                0.65101,                0.67888,                 0.3928,                 1.6717,                 1.0303,                 1.2643,               0.005116,               0.005116,               0.005116
