                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2017,                 0.7611,                0.86242,                0.45582,                0.34101,                0.33905,                0.19877,                 1.2598,                0.88145,                0.87777,                0.00208,                0.00208,                0.00208
                     82,                  1.206,                0.75987,                0.86037,                 0.4514,                0.34168,                0.33672,                 0.1974,                 1.2616,                0.88474,                0.87788,               0.001981,               0.001981,               0.001981
                     83,                  1.208,                0.75923,                0.86291,                0.45848,                0.33932,                 0.3367,                0.19728,                 1.2604,                0.88499,                0.87789,               0.001882,               0.001882,               0.001882
                     84,                 1.1977,                 0.7497,                0.86064,                0.46087,                0.33929,                0.33659,                0.19746,                 1.2606,                 0.8848,                0.87791,               0.001783,               0.001783,               0.001783
                     85,                 1.2022,                0.75146,                0.86055,                0.45966,                0.34367,                0.33805,                 0.1976,                 1.2615,                0.88571,                0.87824,               0.001684,               0.001684,               0.001684
                     86,                 1.1993,                0.74934,                0.85975,                0.46525,                0.34232,                0.33867,                0.19815,                 1.2608,                0.88605,                0.87829,               0.001585,               0.001585,               0.001585
                     87,                 1.1865,                0.74265,                 0.8592,                0.46564,                0.34117,                0.33907,                0.19775,                 1.2604,                0.88418,                0.87769,               0.001486,               0.001486,               0.001486
                     88,                  1.189,                0.74134,                0.85909,                 0.4649,                0.33813,                 0.3378,                0.19699,                  1.261,                0.88443,                0.87816,               0.001387,               0.001387,               0.001387
                     89,                 1.1912,                0.73956,                0.85861,                0.46433,                0.33923,                0.33813,                 0.1979,                 1.2581,                0.88287,                0.87729,               0.001288,               0.001288,               0.001288
                     90,                 1.1925,                0.73758,                0.85843,                0.47039,                0.33567,                0.33776,                0.19786,                 1.2582,                0.88356,                0.87746,               0.001189,               0.001189,               0.001189
                     91,                 1.1707,                0.71603,                0.85884,                0.46353,                0.33487,                0.33567,                0.19636,                 1.2624,                0.88859,                0.87891,                0.00109,                0.00109,                0.00109
                     92,                 1.1584,                0.70303,                0.85553,                0.46078,                0.33536,                0.33491,                 0.1954,                 1.2648,                 0.8901,                0.87899,               0.000991,               0.000991,               0.000991
                     93,                 1.1518,                0.69365,                0.85522,                0.46546,                0.33358,                0.33568,                0.19547,                 1.2658,                 0.8914,                0.87901,               0.000892,               0.000892,               0.000892
                     94,                 1.1473,                0.69016,                 0.8545,                0.46764,                0.33264,                0.33533,                0.19501,                  1.266,                0.89228,                0.87898,               0.000793,               0.000793,               0.000793
                     95,                 1.1427,                0.68559,                0.85361,                0.47256,                0.33126,                0.33633,                0.19566,                 1.2652,                0.89424,                0.87831,               0.000694,               0.000694,               0.000694
                     96,                 1.1452,                0.68579,                 0.8547,                0.46375,                0.33578,                0.33591,                0.19535,                 1.2662,                0.89556,                0.87827,               0.000595,               0.000595,               0.000595
                     97,                 1.1428,                0.68348,                0.85317,                0.45708,                0.33671,                0.33527,                0.19513,                 1.2672,                0.89617,                0.87878,               0.000496,               0.000496,               0.000496
                     98,                 1.1416,                0.68251,                0.85302,                0.45711,                0.33761,                0.33559,                0.19489,                 1.2684,                0.89572,                0.87915,               0.000397,               0.000397,               0.000397
                     99,                 1.1355,                 0.6763,                0.85198,                0.45773,                0.33669,                0.33569,                0.19536,                 1.2684,                0.89545,                0.87908,               0.000298,               0.000298,               0.000298
                    100,                 1.1314,                0.67462,                0.85207,                0.45808,                0.33896,                0.33567,                0.19512,                 1.2685,                0.89583,                0.87924,               0.000199,               0.000199,               0.000199
